Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,11.400000,11.416000,11.146000,11.408000,11.408000,1295000
2022-05-05,11.420000,11.420000,10.986000,11.080000,11.080000,4298000
2022-05-06,10.950000,11.088000,10.880000,10.998000,10.998000,2323500
2022-05-09,10.576000,10.800000,10.576000,10.632000,10.632000,2535000
2022-05-10,11.082000,11.350000,10.488000,10.840000,10.840000,5844500
2022-05-11,11.066000,11.260000,10.980000,10.980000,10.980000,3613000
2022-05-12,10.902000,11.224000,10.902000,11.120000,11.120000,1671500
2022-05-13,11.056000,11.134000,11.056000,11.114000,11.114000,1243500
2022-05-16,10.780000,11.006000,10.780000,10.914000,10.914000,1340000
2022-05-17,11.000000,11.222000,11.000000,11.112000,11.112000,1844500
2022-05-18,11.502000,11.594000,11.326000,11.384000,11.384000,2150000
2022-05-19,11.396000,11.630000,11.396000,11.520000,11.520000,2281500
2022-05-20,11.648000,11.648000,11.420000,11.526000,11.526000,1709500
2022-05-23,11.578000,11.774000,11.578000,11.674000,11.674000,1604000
2022-05-24,11.674000,11.774000,11.608000,11.680000,11.680000,3346000
2022-05-25,11.106000,11.310000,11.106000,11.292000,11.292000,1160500
2022-05-26,11.240000,11.400000,11.240000,11.360000,11.360000,832500
2022-05-27,11.130000,11.242000,11.130000,11.218000,11.218000,901000
2022-05-31,11.272000,11.272000,11.100000,11.120000,11.120000,1201000
2022-06-01,11.216000,11.328000,11.142000,11.142000,11.142000,1940500
2022-06-02,11.012000,11.124000,11.012000,11.112000,11.112000,2180000
2022-06-03,10.840000,11.032000,10.840000,10.884000,10.884000,1653000
2022-06-06,11.000000,11.180000,10.958000,11.044000,11.044000,1456500
2022-06-07,10.868000,11.084000,10.868000,11.024000,11.024000,1702500
2022-06-08,10.846000,11.062000,10.846000,10.928000,10.928000,910500
2022-06-09,11.178000,11.184000,11.018000,11.050000,11.050000,1226500
2022-06-10,11.000000,11.010000,10.800000,10.822000,10.822000,1591000
2022-06-13,10.760000,10.760000,10.590000,10.590000,10.590000,1651500
2022-06-14,10.650000,10.800000,10.494000,10.582000,10.582000,2952000
2022-06-15,10.400000,10.600000,10.400000,10.550000,10.550000,1305000
2022-06-16,10.394000,10.516000,10.388000,10.456000,10.456000,1297000
2022-06-17,10.498000,10.498000,10.382000,10.430000,10.430000,1195500
2022-06-21,10.798000,10.798000,10.444000,10.604000,10.604000,1107000
2022-06-22,10.474000,10.674000,10.474000,10.560000,10.560000,1089000
2022-06-23,10.450000,10.660000,10.438000,10.644000,10.644000,1358000
2022-06-24,10.896000,10.896000,10.672000,10.830000,10.830000,1094500
2022-06-27,10.814000,10.814000,10.740000,10.774000,10.774000,1393500
2022-06-28,10.852000,10.936000,10.804000,10.830000,10.830000,975500
2022-06-29,10.960000,10.960000,10.640000,10.798000,10.798000,701500
2022-06-30,10.560000,10.812000,10.560000,10.764000,10.764000,1001500
2022-07-01,10.690000,10.690000,10.442000,10.642000,10.642000,1376000
2022-07-05,10.680000,10.896000,10.668000,10.812000,10.812000,893000
2022-07-06,11.040000,11.040000,10.784000,10.808000,10.808000,1171000
2022-07-07,10.694000,10.818000,10.694000,10.814000,10.814000,1843500
2022-07-08,10.430000,10.796000,10.430000,10.700000,10.700000,663500
2022-07-11,10.724000,10.758000,10.708000,10.712000,10.712000,1150000
2022-07-12,10.700000,10.948000,10.700000,10.882000,10.882000,479000
2022-07-13,10.700000,10.940000,10.700000,10.940000,10.940000,832500
2022-07-14,10.920000,10.920000,10.722000,10.856000,10.856000,509000
2022-07-15,10.906000,11.248000,10.906000,11.238000,11.238000,2085000
2022-07-18,11.200000,11.342000,11.182000,11.270000,11.270000,1775500
2022-07-19,11.198000,11.198000,10.986000,11.056000,11.056000,775500
2022-07-20,11.100000,11.346000,11.100000,11.212000,11.212000,1006000
2022-07-21,11.240000,11.240000,11.120000,11.200000,11.200000,805000
2022-07-22,11.250000,11.334000,11.210000,11.232000,11.232000,719500
2022-07-25,11.240000,11.240000,11.084000,11.136000,11.136000,1216500
2022-07-26,11.096000,11.096000,10.890000,10.890000,10.890000,1685500
2022-07-27,10.800000,11.150000,10.800000,11.056000,11.056000,478000
2022-07-28,11.200000,11.200000,11.070000,11.162000,11.162000,548000
2022-07-29,11.054000,11.260000,11.054000,11.200000,11.200000,888500
2022-08-01,11.002000,11.182000,11.000000,11.170000,11.170000,611000
2022-08-02,11.200000,11.200000,10.888000,10.906000,10.906000,858500
2022-08-03,10.538000,10.538000,10.200000,10.450000,10.450000,4409000
2022-08-04,10.598000,10.724000,10.516000,10.724000,10.724000,974000
2022-08-05,11.100000,11.100000,10.764000,10.812000,10.812000,1468000
2022-08-08,10.700000,10.740000,10.562000,10.648000,10.648000,797000
2022-08-09,10.444000,10.638000,10.444000,10.520000,10.520000,799000
2022-08-10,10.466000,10.828000,10.466000,10.770000,10.770000,892500
2022-08-11,10.708000,10.858000,10.708000,10.788000,10.788000,829000
2022-08-12,10.560000,10.860000,10.560000,10.788000,10.788000,972000
2022-08-15,10.996000,10.996000,10.748000,10.836000,10.836000,1330000
2022-08-16,10.956000,10.956000,10.822000,10.876000,10.876000,726000
